season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0032385,WR,2.3715,2.4750,0.0250,5.99 3.41 3.41 1.96 1.96 2.69 0.00 0.00 4.65 0.00 0.00 3.31 4.96 1.45 8.16 1.96 1.96 0.00 7.75 0.00 6.30 0.00 1.14 0.00 0.00 0.00 1.76 0.00 0.00 2.69 4.65 0.00 2.89 0.00 0.00 7.96 1.76 1.34 0.00 10.75
2024,3,00-0032392,TE,2.6181,2.3000,0.1000,5.56 1.44 0.00 3.76 0.00 2.74 3.90 3.18 0.00 9.61 3.39 2.60 2.67 1.16 0.00 0.00 1.08 0.00 0.00 1.23 3.25 9.89 6.36 4.41 1.88 2.24 4.91 2.38 2.17 0.00 1.44 3.97 1.66 0.00 3.68 3.25 1.81 7.15 1.95 0.00
2024,3,00-0032394,TE,1.5756,1.3250,0.0000,1.51 3.29 4.53 0.00 1.16 0.00 5.07 0.00 3.29 0.00 0.00 3.02 2.58 2.49 0.00 1.87 4.44 0.00 2.31 4.09 0.00 7.20 1.51 1.69 1.78 0.00 0.00 1.51 2.58 0.00 2.31 0.00 0.00 0.00 0.00 0.00 0.00 1.16 2.49 1.16
2024,3,00-0032398,WR,4.2680,2.4750,0.1000,2.26 3.99 0.00 1.19 17.78 5.28 0.00 1.62 4.20 12.93 9.92 3.02 1.94 10.13 17.57 1.94 3.02 10.35 0.86 6.14 3.56 1.94 3.45 6.04 1.94 1.72 1.19 5.82 0.00 2.48 4.85 6.47 4.10 4.20 5.39 0.00 0.00 3.45 0.00 0.00
2024,3,00-0032464,WR,5.2138,2.1750,0.1000,0.00 0.12 5.33 2.91 5.21 10.05 4.24 3.27 2.79 4.36 0.00 -1.21 2.06 0.36 2.06 7.87 25.07 1.94 0.00 5.21 2.06 8.48 9.81 9.45 4.24 17.32 2.79 0.36 16.59 0.00 2.91 0.12 6.06 18.29 0.00 8.72 2.66 7.63 1.82 7.63
2024,3,00-0032688,WR,2.9271,1.8750,0.1500,2.00 1.08 6.58 20.42 1.25 0.00 0.00 2.42 0.00 1.58 0.00 2.33 5.50 0.50 8.25 0.00 0.00 0.00 11.50 0.00 2.08 3.83 2.08 3.83 3.25 6.67 0.00 3.50 1.08 0.00 3.58 0.00 6.17 0.00 0.00 8.00 3.58 0.00 0.00 6.00
2024,3,00-0032764,RB,11.1094,13.5250,0.5500,36.04 1.52 32.34 14.48 11.65 1.96 5.12 6.86 3.27 3.38 4.14 3.92 3.27 10.78 15.90 18.73 21.67 4.36 7.51 5.66 14.81 8.17 9.47 6.32 21.78 2.18 27.44 6.97 5.99 0.98 15.90 12.20 2.07 4.90 49.11 6.64 3.05 15.57 10.24 8.06
2024,3,00-0032775,WR,10.6431,5.2000,0.4750,8.21 12.66 7.70 3.68 3.76 17.28 3.76 14.29 3.42 19.68 15.40 6.93 7.79 20.53 20.62 14.29 6.07 23.96 35.16 14.03 4.62 4.11 9.15 5.90 10.01 1.63 2.40 8.90 6.76 13.09 12.66 30.29 3.68 1.63 12.66 3.51 7.61 3.42 9.15 15.31
2024,3,00-0033009,WR,5.8378,5.2750,0.0250,5.87 9.16 7.91 9.78 0.27 8.00 7.11 2.49 2.31 5.07 3.64 8.00 0.00 18.13 5.78 2.76 7.38 1.24 6.76 1.51 3.82 9.87 6.40 4.00 2.31 0.00 4.71 2.84 2.93 2.13 4.36 2.93 10.93 1.96 20.62 5.78 5.33 6.22 13.69 9.51
2024,3,00-0033040,WR,13.4542,8.9000,0.5500,2.17 6.17 19.42 8.17 9.08 16.42 13.17 6.17 7.75 22.17 20.83 17.42 18.17 10.08 14.25 12.17 2.92 20.17 12.33 27.25 33.67 7.33 10.17 32.25 3.25 25.75 14.50 10.75 18.33 18.08 10.58 16.83 14.50 11.00 6.58 6.83 8.92 6.08 10.25 6.25
2024,3,00-0033045,RB,7.1326,9.8750,0.2000,21.26 15.03 6.13 -0.31 4.09 1.33 4.40 12.47 2.66 3.88 5.11 7.05 11.76 6.75 1.53 10.94 6.13 2.25 2.86 20.34 8.18 2.35 1.94 14.62 16.05 6.13 3.58 1.53 7.26 2.66 6.85 6.54 5.93 7.26 6.75 16.56 11.86 2.04 8.08 3.48
2024,3,00-0033077,QB,21.1825,2.0000,0.1500,14.86 24.68 11.41 30.73 27.46 29.28 11.76 17.15 25.76 22.39 22.18 17.68 7.20 41.62 12.74 24.66 17.09 32.47 26.72 17.11 30.03 22.90 20.69 41.42 13.27 5.11 6.24 12.80 20.61 34.22 11.98 34.76 29.28 8.61 13.04 16.25 26.70 34.29 5.09 25.09
2024,3,00-0033090,TE,6.8900,6.1500,0.1500,7.66 10.18 6.21 1.16 3.25 9.24 3.68 3.25 10.76 5.06 4.77 4.19 15.17 12.42 4.62 10.91 3.47 1.88 10.47 16.32 3.18 8.16 8.59 12.49 7.01 5.92 2.53 3.83 8.45 5.49 16.54 2.89 5.13 2.60 1.66 7.73 8.38 0.00 11.41 8.96
2024,3,00-0033106,QB,22.8555,1.0750,0.0250,13.69 29.45 40.02 35.61 18.80 32.39 11.19 18.70 27.32 21.56 34.76 12.98 37.98 28.15 33.43 11.82 15.07 4.55 15.43 20.66 14.00 26.45 28.10 27.54 22.77 21.56 29.02 13.56 27.59 25.05 10.42 19.50 27.69 26.64 44.35 9.03 22.26 27.25 14.32 13.59
2024,3,00-0033110,TE,7.4904,5.2750,0.3750,7.10 2.65 0.00 6.33 4.28 7.44 10.27 4.19 5.82 8.38 0.00 2.40 0.00 5.65 21.22 2.99 11.64 3.59 1.63 12.58 10.95 2.99 11.29 2.91 11.98 5.39 2.91 8.64 2.22 5.30 9.50 6.84 12.49 24.30 17.71 5.65 21.22 3.68 8.04 7.44
2024,3,00-0033119,QB,9.3094,3.0000,0.1250,9.10 17.85 13.72 8.00 8.64 8.58 6.46 2.79 6.27 11.34 8.02 5.32 1.53 1.13 1.47 10.54 8.77 4.15 19.56 11.35 2.14 12.58 17.82 15.28 17.30 11.93 9.55 16.96 7.63 16.06 12.32 9.75 13.19 1.66 2.48 9.19 6.92 8.12 8.06 8.85
