season,week,gsisId,team,status,fetchedAt
2026,3,00-0037661,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037664,IND,Out,2026-09-26T14:58:25.380Z
2026,3,00-0037667,DET,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0037758,TEN,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0037804,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037809,WAS,Out,2026-09-26T14:58:25.380Z
2026,3,00-0037831,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037832,CLE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037837,NYG,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037839,DAL,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038039,SF,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0038043,TEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038046,LAC,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038099,BUF,Sus,2026-09-26T14:58:25.380Z
2026,3,00-0038105,CLE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038107,IND,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038111,CHI,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0038136,CHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038390,CHI,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0038394,IND,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038401,NYG,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038411,CHI,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038416,CHI,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0038493,CAR,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038555,PHI,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0038556,DAL,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038566,NO,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0038579,LV,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0038585,IND,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038590,LV,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038599,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038603,MIA,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038610,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038614,LAC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038619,CIN,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038679,BUF,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0038694,SEA,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0038703,TEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038720,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038724,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038735,DAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038752,SEA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038765,SEA,Out,2026-09-26T14:58:25.380Z
2026,3,00-0038824,MIA,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0038865,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038976,DEN,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0038977,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0038982,KC,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0038995,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039000,NYG,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039009,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039020,SEA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039032,TEN,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039051,TB,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039064,BAL,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039071,CHI,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039072,PHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039075,LAR,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0039141,DET,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039156,MIA,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039165,SEA,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039167,PIT,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039234,BAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039236,PHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039244,LV,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039267,PHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039338,LV,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039342,CAR,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039344,CAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039352,DAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039362,DET,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039363,SF,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039368,WAS,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039381,TEN,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039388,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039389,PIT,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039406,CLE,Out,2026-09-26T14:58:25.380Z
2026,3,00-0039419,MIN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039427,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039436,TEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039438,DEN,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039481,MIA,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039491,CAR,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039565,DEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039623,NO,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039660,DET,Out,2026-09-26T14:58:25.380Z
2026,3,00-0039692,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039710,MIN,Sus,2026-09-26T14:58:25.380Z
2026,3,00-0039737,ARI,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0039746,PHI,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039784,LAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0039807,ARI,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0039834,LAR,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0039836,LV,IR,2026-09-26T14:58:25.380Z
