team,season,role,name
GB,2016,OC,Edgar Bennett
GB,2017,HC,Mike McCarthy
GB,2017,OC,Edgar Bennett
GB,2018,HC,Mike McCarthy
GB,2018,OC,Joe Philbin
GB,2019,HC,Matt LaFleur
GB,2019,OC,Nathaniel Hackett
GB,2020,HC,Matt LaFleur
GB,2020,OC,Nathaniel Hackett
GB,2021,HC,Matt LaFleur
GB,2021,OC,Nathaniel Hackett
GB,2022,HC,Matt LaFleur
GB,2022,OC,Adam Stenavich
GB,2023,HC,Matt LaFleur
GB,2023,OC,Adam Stenavich
GB,2024,HC,Matt LaFleur
GB,2024,OC,Adam Stenavich
HOU,2015,HC,Bill O'Brien
HOU,2015,OC,George Godsey
HOU,2016,HC,Bill O'Brien
HOU,2016,OC,George Godsey
HOU,2017,HC,Bill O'Brien
HOU,2017,OC,Bill O'Brien
HOU,2018,HC,Bill O'Brien
HOU,2018,OC,Bill O'Brien
HOU,2019,HC,Bill O'Brien
HOU,2019,OC,Tim Kelly
HOU,2020,HC,Bill O'Brien
HOU,2020,OC,Tim Kelly
HOU,2021,HC,David Culley
HOU,2021,OC,Tim Kelly
HOU,2022,HC,Lovie Smith
HOU,2022,OC,Pep Hamilton
HOU,2023,HC,DeMeco Ryans
HOU,2023,OC,Bobby Slowik
HOU,2024,HC,DeMeco Ryans
HOU,2024,OC,Bobby Slowik
IND,2015,HC,Chuck Pagano
IND,2015,OC,Pep Hamilton
IND,2016,HC,Chuck Pagano
IND,2016,OC,Rob Chudzinski
IND,2017,HC,Chuck Pagano
IND,2017,OC,Rob Chudzinski
IND,2018,HC,Frank Reich
IND,2018,OC,Nick Sirianni
IND,2019,HC,Frank Reich
IND,2019,OC,Nick Sirianni
IND,2020,HC,Frank Reich
IND,2020,OC,Nick Sirianni
IND,2021,HC,Frank Reich
IND,2021,OC,Marcus Brady
IND,2022,HC,Frank Reich
IND,2022,OC,Marcus Brady
IND,2023,HC,Shane Steichen
IND,2023,OC,Jim Bob Cooter
IND,2024,HC,Shane Steichen
IND,2024,OC,Jim Bob Cooter
JAX,2015,HC,Gus Bradley
JAX,2015,OC,Greg Olson
JAX,2016,HC,Gus Bradley
JAX,2016,OC,Greg Olson
JAX,2017,HC,Doug Marrone
JAX,2017,OC,Nathaniel Hackett
JAX,2018,HC,Doug Marrone
JAX,2018,OC,Nathaniel Hackett
JAX,2019,HC,Doug Marrone
JAX,2019,OC,John DeFilippo
JAX,2020,HC,Doug Marrone
JAX,2020,OC,Jay Gruden
JAX,2021,HC,Urban Meyer
JAX,2021,OC,Darrell Bevell
JAX,2022,HC,Doug Pederson
JAX,2022,OC,Press Taylor
JAX,2023,HC,Doug Pederson
JAX,2023,OC,Press Taylor
JAX,2024,HC,Doug Pederson
JAX,2024,OC,Press Taylor
KC,2015,HC,Andy Reid
KC,2015,OC,Doug Pederson
KC,2016,HC,Andy Reid
KC,2016,OC,Brad Childress / Matt Nagy
KC,2017,HC,Andy Reid
KC,2017,OC,Matt Nagy
KC,2018,HC,Andy Reid
KC,2018,OC,Eric Bieniemy
KC,2019,HC,Andy Reid
KC,2019,OC,Eric Bieniemy
KC,2020,HC,Andy Reid
KC,2020,OC,Eric Bieniemy
KC,2021,HC,Andy Reid
KC,2021,OC,Eric Bieniemy
KC,2022,HC,Andy Reid
KC,2022,OC,Eric Bieniemy
KC,2023,HC,Andy Reid
KC,2023,OC,Matt Nagy
KC,2024,HC,Andy Reid
KC,2024,OC,Matt Nagy
STL,2015,HC,Jeff Fisher
STL,2015,OC,Frank Cignetti
LA,2016,HC,Jeff Fisher
LA,2016,OC,Rob Boras
LA,2017,HC,Sean McVay
LA,2017,OC,Matt LaFleur
LA,2018,HC,Sean McVay
LA,2018,OC,Sean McVay
LA,2019,HC,Sean McVay
LA,2019,OC,Sean McVay
LA,2020,HC,Sean McVay
LA,2020,OC,Kevin O'Connell
LA,2021,HC,Sean McVay
LA,2021,OC,Kevin O'Connell
LA,2022,HC,Sean McVay
LA,2022,OC,Liam Coen
LA,2023,HC,Sean McVay
LA,2023,OC,Mike LaFleur
LA,2024,HC,Sean McVay
LA,2024,OC,Mike LaFleur
SD,2015,HC,Mike McCoy
SD,2015,OC,Frank Reich
SD,2016,HC,Mike McCoy
SD,2016,OC,Ken Whisenhunt
LAC,2017,HC,Anthony Lynn
LAC,2017,OC,Ken Whisenhunt
LAC,2018,HC,Anthony Lynn
LAC,2018,OC,Ken Whisenhunt
