season,week,playerId,position,points,touches,tds
2024,3,00-0035250,RB,10.0485,19.8500,0.6500
2024,3,00-0035261,RB,10.6844,18.9750,0.4500
2024,3,00-0035289,QB,12.9190,2.1000,0.0250
2024,3,00-0035291,RB,1.6763,1.6500,0.0750
2024,3,00-0035297,WR,1.7378,1.1000,0.0500
2024,3,00-0035298,WR,0.9880,1.3000,0.0250
2024,3,00-0035311,RB,2.3907,4.5500,0.1000
2024,3,00-0035329,TE,2.4533,1.9750,0.0500
2024,3,00-0035341,WR,4.7972,2.1250,0.1500
2024,3,00-0035359,WR,1.9167,1.6500,0.0250
2024,3,00-0035406,WR,2.4150,2.1000,0.0500
2024,3,00-0035414,WR,1.5900,1.3750,0.0250
2024,3,00-0035500,WR,3.5324,1.9000,0.0500
2024,3,00-0035535,WR,3.3232,3.7000,0.0500
2024,3,00-0035537,RB,2.2304,2.3500,0.0750
2024,3,00-0035567,RB,1.7410,1.6500,0.1000
2024,3,00-0035624,TE,3.1411,1.4000,0.1000
2024,3,00-0035628,RB,1.9479,2.0750,0.1250
2024,3,00-0035631,TE,2.5204,1.5000,0.0500
2024,3,00-0035639,WR,2.8443,1.8000,0.0500
2024,3,00-0035640,WR,14.8027,9.4000,0.4000
2024,3,00-0035644,TE,6.9059,3.8000,0.1500
2024,3,00-0035659,WR,9.3042,7.9000,0.2000
2024,3,00-0035662,WR,4.4563,4.1500,0.0000
2024,3,00-0035685,RB,10.2975,11.8000,0.4250
2024,3,00-0035689,TE,5.4316,2.6750,0.1250
2024,3,00-0035700,RB,8.8551,18.4750,0.5000
2024,3,00-0035710,QB,9.7909,5.0250,0.2250
2024,3,00-0035806,RB,1.2856,1.9000,0.0750
2024,3,00-0035973,RB,0.7771,0.7750,0.0000
2024,3,00-0036040,TE,3.1873,2.4250,0.0750
2024,3,00-0036059,TE,1.4459,0.9250,0.0250
2024,3,00-0036096,RB,3.2987,6.1750,0.2000
2024,3,00-0036139,RB,4.8070,6.1750,0.1750
2024,3,00-0036145,TE,1.0010,0.9750,0.0250
2024,3,00-0036158,RB,6.5157,11.4750,0.3250
2024,3,00-0036165,WR,1.7692,2.1500,0.0250
2024,3,00-0036182,WR,2.2956,2.1250,0.0000
2024,3,00-0036183,WR,4.5475,3.5000,0.1500
2024,3,00-0036196,WR,11.2956,6.4250,0.5000
2024,3,00-0036212,QB,14.6025,1.9750,0.1500
2024,3,00-0036223,RB,21.3971,26.0750,0.9750
2024,3,00-0036225,TE,1.8053,1.2750,0.0500
2024,3,00-0036244,TE,4.7505,3.3250,0.1750
2024,3,00-0036251,RB,13.3780,18.0750,0.4000
2024,3,00-0036252,WR,6.1435,5.1500,0.2000
2024,3,00-0036254,WR,2.0911,1.6250,0.0250
2024,3,00-0036259,WR,7.3954,3.9250,0.1750
2024,3,00-0036261,WR,19.8970,7.8000,0.6750
2024,3,00-0036264,QB,10.9514,0.7500,0.0000
2024,3,00-0036265,RB,2.7861,4.2500,0.1750
2024,3,00-0036268,WR,0.9631,1.1000,0.0000
2024,3,00-0036271,WR,3.2782,1.9250,0.1250
2024,3,00-0036275,RB,13.7411,16.9250,0.7750
2024,3,00-0036277,WR,1.7282,1.2500,0.0250
2024,3,00-0036290,TE,7.4746,4.7000,0.1500
2024,3,00-0036297,RB,2.3118,3.2250,0.1000
2024,3,00-0036309,WR,5.2890,4.2500,0.1750
2024,3,00-0036322,WR,26.2240,13.2500,0.9250
2024,3,00-0036328,RB,4.4001,8.9500,0.1250
2024,3,00-0036331,WR,1.7496,1.5750,0.0500
2024,3,00-0036332,TE,1.8133,1.3500,0.0250
2024,3,00-0036345,WR,4.4579,4.6250,0.1500
2024,3,00-0036355,QB,9.5597,1.0500,0.0000
2024,3,00-0036358,WR,26.5241,14.7750,0.7250
2024,3,00-0036360,RB,3.5389,4.1500,0.0750
2024,3,00-0036389,QB,15.6731,6.6250,0.2750
2024,3,00-0036407,WR,10.2078,5.8250,0.3750
2024,3,00-0036410,WR,10.8070,5.4750,0.3000
2024,3,00-0036412,WR,4.1186,2.4000,0.1250
2024,3,00-0036414,RB,7.1067,10.9750,0.3000
2024,3,00-0036415,WR,3.1850,3.0750,0.1000
2024,3,00-0036423,TE,2.9218,2.4750,0.0000
2024,3,00-0036427,WR,3.6425,3.3250,0.1250
2024,3,00-0036429,TE,0.9341,0.7250,0.0000
2024,3,00-0036442,QB,18.9806,3.1250,0.0250
2024,3,00-0036450,RB,0.4489,1.3000,0.0000
2024,3,00-0036550,WR,4.3011,3.1500,0.0500
2024,3,00-0036554,WR,19.6160,7.8000,0.6750
2024,3,00-0036555,RB,5.3437,9.0250,0.4000
2024,3,00-0036556,TE,4.1973,1.5500,0.2000
2024,3,00-0036567,RB,1.8994,2.6250,0.0500
2024,3,00-0036613,WR,7.4521,4.9500,0.3250
2024,3,00-0036626,WR,1.8309,1.6500,0.0250
2024,3,00-0036627,WR,2.2642,2.3500,0.0250
2024,3,00-0036628,TE,1.7453,1.3250,0.0750
2024,3,00-0036670,RB,0.9598,1.3250,0.0250
2024,3,00-0036755,RB,2.2055,3.3750,0.1500
2024,3,00-0036849,WR,3.7944,2.5750,0.1500
2024,3,00-0036857,RB,1.6080,1.2000,0.0500
2024,3,00-0036862,WR,1.6250,1.5250,0.0250
2024,3,00-0036875,RB,10.1021,18.9250,0.4000
2024,3,00-0036876,TE,3.2485,1.9750,0.1250
2024,3,00-0036887,TE,2.8333,1.7500,0.0500
2024,3,00-0036893,RB,8.9202,16.7000,0.3000
2024,3,00-0036894,TE,9.1368,6.6500,0.3000
2024,3,00-0036900,WR,22.2501,10.6750,0.6000
2024,3,00-0036906,RB,6.1397,9.4000,0.3250
2024,3,00-0036912,WR,12.8211,8.6250,0.2250
2024,3,00-0036919,RB,2.1493,1.9500,0.1500
2024,3,00-0036924,RB,3.0393,3.3750,0.1750
2024,3,00-0036936,WR,3.2489,2.3250,0.1250
2024,3,00-0036945,QB,14.9985,5.4750,0.2250
2024,3,00-0036955,WR,5.2239,2.8500,0.1750
2024,3,00-0036963,WR,25.5302,11.2750,0.5500
2024,3,00-0036970,TE,11.9803,8.5250,0.3750
2024,3,00-0036971,QB,15.7321,3.3250,0.1250
2024,3,00-0036973,RB,14.0061,18.3750,0.6000
2024,3,00-0036980,WR,5.0606,4.7750,0.0000
2024,3,00-0036984,RB,1.4141,2.1250,0.0250
2024,3,00-0036988,WR,2.8105,3.1500,0.0750
2024,3,00-0036997,RB,10.4899,20.5250,0.5250
2024,3,00-0037005,TE,1.6982,1.7000,0.0500
2024,3,00-0037091,WR,3.7627,3.1250,0.2000
2024,3,00-0037098,WR,1.3049,0.9000,0.0500
2024,3,00-0037120,RB,1.7751,1.5000,0.0500
2024,3,00-0037132,WR,2.9450,1.9000,0.0750
2024,3,00-0037197,RB,18.2770,20.9250,0.6500
2024,3,00-0037228,RB,7.5725,8.2000,0.3000
2024,3,00-0037238,WR,9.6248,7.0000,0.2250
2024,3,00-0037239,WR,19.1094,11.1500,0.3250
2024,3,00-0037240,WR,8.9229,4.6750,0.2500
2024,3,00-0037247,WR,11.0825,7.4500,0.3250
2024,3,00-0037248,RB,13.1665,14.9000,0.4750
2024,3,00-0037252,TE,3.4979,4.1500,0.1250
2024,3,00-0037256,RB,11.1755,14.8250,0.4500
2024,3,00-0037261,WR,9.2331,3.7500,0.2500
2024,3,00-0037263,RB,3.7577,6.3250,0.1750
2024,3,00-0037267,RB,7.2560,8.8500,0.2750
2024,3,00-0037273,WR,2.1597,1.2750,0.1000
2024,3,00-0037276,RB,6.2724,7.7750,0.3750
2024,3,00-0037286,RB,1.3144,2.9500,0.1250
2024,3,00-0037291,WR,2.7011,1.5750,0.1000
2024,3,00-0037299,RB,1.6769,2.8500,0.0750
2024,3,00-0037329,RB,1.2664,1.2250,0.0750
2024,3,00-0037382,WR,2.5913,2.0750,0.0750
2024,3,00-0037525,RB,7.2075,5.9500,0.4500
2024,3,00-0037545,WR,11.8622,4.7000,0.3750
2024,3,00-0037557,RB,1.4887,2.1250,0.0750
2024,3,00-0037563,RB,2.9184,2.3000,0.2000
2024,3,00-0037594,RB,1.1600,1.3500,0.1000
2024,3,00-0037664,WR,6.3388,4.0000,0.2000
2024,3,00-0037666,WR,4.4543,2.7250,0.1250
2024,3,00-0037740,WR,13.5641,10.0250,0.3250
2024,3,00-0037741,WR,2.7073,2.8250,0.0500
2024,3,00-0037742,WR,2.8844,2.6250,0.0750
2024,3,00-0037744,TE,15.5119,7.8500,0.3500
2024,3,00-0037745,WR,1.1574,0.9250,0.0500
2024,3,00-0037746,RB,10.7886,14.9000,0.6000
2024,3,00-0037755,TE,2.7887,2.3500,0.0500
