season,week,gsisId
2026,1,00-0034959
2026,1,00-0034961
2026,1,00-0034970
2026,1,00-0034971
2026,1,00-0034972
2026,1,00-0034983
2026,1,00-0034988
2026,1,00-0034995
2026,1,00-0035002
2026,1,00-0035006
2026,1,00-0035009
2026,1,00-0035013
2026,1,00-0035018
2026,1,00-0035019
2026,1,00-0035022
2026,1,00-0035025
2026,1,00-0035039
2026,1,00-0035040
2026,1,00-0035043
2026,1,00-0035045
2026,1,00-0035058
2026,1,00-0035070
2026,1,00-0035090
2026,1,00-0035099
2026,1,00-0035100
2026,1,00-0035101
2026,1,00-0035102
2026,1,00-0035104
2026,1,00-0035120
2026,1,00-0035121
2026,1,00-0035126
2026,1,00-0035140
2026,1,00-0035146
2026,1,00-0035148
2026,1,00-0035153
2026,1,00-0035154
2026,1,00-0035161
2026,1,00-0035163
2026,1,00-0035164
2026,1,00-0035181
2026,1,00-0035184
2026,1,00-0035187
2026,1,00-0035194
2026,1,00-0035200
2026,1,00-0035215
2026,1,00-0035216
2026,1,00-0035217
2026,1,00-0035218
2026,1,00-0035222
2026,1,00-0035243
2026,1,00-0035246
2026,1,00-0035251
2026,1,00-0035256
2026,1,00-0035259
2026,1,00-0035264
2026,1,00-0035268
2026,1,00-0035273
2026,1,00-0035275
2026,1,00-0035282
2026,1,00-0035283
2026,1,00-0035287
2026,1,00-0035289
2026,1,00-0035291
2026,1,00-0035296
2026,1,00-0035297
2026,1,00-0035298
2026,1,00-0035299
2026,1,00-0035303
2026,1,00-0035304
2026,1,00-0035308
2026,1,00-0035309
2026,1,00-0035310
2026,1,00-0035311
2026,1,00-0035313
2026,1,00-0035320
2026,1,00-0035329
2026,1,00-0035341
2026,1,00-0035342
2026,1,00-0035345
2026,1,00-0035350
2026,1,00-0035353
2026,1,00-0035356
2026,1,00-0035359
2026,1,00-0035361
2026,1,00-0035374
2026,1,00-0035385
2026,1,00-0035387
2026,1,00-0035394
2026,1,00-0035396
2026,1,00-0035399
2026,1,00-0035401
2026,1,00-0035406
2026,1,00-0035414
2026,1,00-0035417
2026,1,00-0035427
2026,1,00-0035428
2026,1,00-0035432
2026,1,00-0035436
2026,1,00-0035442
2026,1,00-0035448
2026,1,00-0035450
2026,1,00-0035454
2026,1,00-0035457
2026,1,00-0035467
2026,1,00-0035474
2026,1,00-0035475
2026,1,00-0035480
2026,1,00-0035483
2026,1,00-0035489
2026,1,00-0035491
2026,1,00-0035494
2026,1,00-0035500
2026,1,00-0035505
2026,1,00-0035510
2026,1,00-0035512
2026,1,00-0035520
2026,1,00-0035527
2026,1,00-0035529
2026,1,00-0035535
2026,1,00-0035537
2026,1,00-0035539
2026,1,00-0035546
2026,1,00-0035547
2026,1,00-0035548
2026,1,00-0035551
2026,1,00-0035553
2026,1,00-0035562
2026,1,00-0035567
2026,1,00-0035572
2026,1,00-0035577
2026,1,00-0035587
2026,1,00-0035589
2026,1,00-0035590
2026,1,00-0035592
2026,1,00-0035593
2026,1,00-0035594
2026,1,00-0035596
2026,1,00-0035597
2026,1,00-0035602
2026,1,00-0035603
2026,1,00-0035621
2026,1,00-0035624
2026,1,00-0035628
2026,1,00-0035639
2026,1,00-0035645
2026,1,00-0035652
2026,1,00-0035657
2026,1,00-0035660
2026,1,00-0035664
2026,1,00-0035671
2026,1,00-0035691
2026,1,00-0035700
2026,1,00-0035701
2026,1,00-0035703
2026,1,00-0035704
2026,1,00-0035715
2026,1,00-0035726
2026,1,00-0035728
2026,1,00-0035735
2026,1,00-0035750
2026,1,00-0035752
2026,1,00-0035760
2026,1,00-0035771
2026,1,00-0035786
2026,1,00-0035787
2026,1,00-0035789
2026,1,00-0035806
2026,1,00-0035819
2026,1,00-0035823
2026,1,00-0035825
2026,1,00-0035831
2026,1,00-0035835
2026,1,00-0035838
2026,1,00-0035844
2026,1,00-0035848
2026,1,00-0035860
2026,1,00-0035864
2026,1,00-0035868
2026,1,00-0035869
2026,1,00-0035876
2026,1,00-0035883
2026,1,00-0035887
2026,1,00-0035891
2026,1,00-0035898
2026,1,00-0035908
2026,1,00-0035912
2026,1,00-0035924
2026,1,00-0035934
