season,week,offense,defense,down,togo,yardline,margin,seconds,playType,player,passer,airYards,caught,yards,touchdown,shotgun,manZone,coverage,rushers,shell,box,afterCatch
2021,1,TEN,ARI,3,10,49,-25,953,pass,00-0033455,00-0029701,3,0,0,0,1,,,,,,0
2021,1,TEN,ARI,4,10,49,-25,948,pass,,00-0029701,0,0,-8,0,1,,,,,,0
2021,1,ARI,TEN,1,10,43,25,944,run,00-0034681,,,,6,0,0,,,,,,
2021,1,ARI,TEN,2,4,37,25,900,run,00-0034681,,,,1,0,1,,,,,,
2021,1,ARI,TEN,3,3,36,25,854,run,00-0034681,,,,5,0,1,,,,,,
2021,1,ARI,TEN,1,10,31,25,809,run,00-0033553,,,,3,0,1,,,,,,
2021,1,ARI,TEN,2,7,28,25,763,run,00-0033553,,,,2,0,1,,,,,,
2021,1,ARI,TEN,3,5,26,25,714,run,00-0033553,,,,1,0,1,,,,,,
2021,1,TEN,ARI,1,10,67,-25,664,pass,00-0027944,00-0029701,4,1,10,0,1,,,,,,6
2021,1,TEN,ARI,1,10,57,-25,640,pass,00-0032764,00-0029701,-3,1,8,0,1,,,,,,11
2021,1,TEN,ARI,2,2,49,-25,616,pass,00-0032355,00-0029701,6,1,10,0,1,,,,,,4
2021,1,TEN,ARI,1,10,39,-25,589,pass,00-0032764,00-0029701,3,1,8,0,1,,,,,,5
2021,1,TEN,ARI,2,2,31,-25,562,pass,,00-0029701,0,0,-10,0,1,,,,,,0
2021,1,TEN,ARI,3,12,41,-25,522,pass,00-0033955,00-0029701,3,1,7,0,1,,,,,,4
2021,1,TEN,ARI,4,5,34,-25,498,pass,00-0035676,00-0029701,9,0,0,0,1,,,,,,0
2021,1,ARI,TEN,1,10,66,25,494,run,00-0034681,,,,2,0,1,,,,,,
2021,1,ARI,TEN,2,8,64,25,453,pass,00-0036936,00-0035228,-2,1,9,0,1,,,,,,11
2021,1,ARI,TEN,1,10,55,25,408,run,00-0033553,,,,6,0,1,,,,,,
2021,1,ARI,TEN,2,9,54,25,359,run,00-0033553,,,,8,0,1,,,,,,
2021,1,ARI,TEN,3,1,46,25,309,run,00-0033553,,,,2,0,1,,,,,,
