season,player,team,situation,touches,scores,yards,teamPlays
2021,00-0031408,TB,earlyAndLong,66,3,659,591
2021,00-0027656,TB,earlyAndLong,59,0,550,591
2021,00-0027793,TB,earlyAndLong,28,2,266,591
2021,00-0033856,TB,redZone,30,0,109,112
2021,00-0033921,TB,redZone,18,3,107,112
2021,00-0033921,TB,insideTen,7,2,23,84
2021,00-0035261,DAL,earlyAndLong,103,1,693,584
2021,00-0034764,DAL,earlyAndLong,25,0,127,584
2021,00-0034764,DAL,earlyDown,10,0,116,147
2021,00-0033658,DAL,earlyAndLong,6,0,47,584
2021,00-0036358,DAL,earlyDown,17,1,124,147
2021,00-0027793,TB,earlyDown,12,0,56,172
2021,00-0027793,TB,thirdAndMedium,6,0,52,70
2021,00-0034418,DAL,earlyAndLong,28,1,266,584
2021,00-0035261,DAL,thirdAndMedium,5,0,21,64
2021,00-0033921,TB,thirdAndMedium,7,0,62,70
2021,00-0033921,TB,earlyAndLong,49,0,474,591
2021,00-0033856,TB,insideTen,21,4,64,84
2021,00-0027656,TB,goalLine,4,3,5,37
2021,00-0033045,DAL,redZone,33,3,143,124
2021,00-0031544,DAL,redZone,14,2,78,124
2021,00-0036358,DAL,redZone,9,1,45,124
2021,00-0034418,DAL,thirdAndLong,13,1,190,83
2021,00-0033077,DAL,redZone,3,0,7,124
2021,00-0031544,DAL,insideTen,6,4,26,47
2021,00-0034764,DAL,redZone,6,0,13,124
2021,00-0036358,DAL,thirdAndMedium,8,0,50,64
2021,00-0033077,DAL,thirdAndLong,4,0,30,83
2021,00-0030456,TB,earlyAndLong,19,0,139,591
2021,00-0036427,TB,earlyAndLong,24,0,181,591
2021,00-0034383,DAL,earlyAndLong,52,0,385,584
2021,00-0031544,DAL,thirdAndMedium,6,1,56,64
2021,00-0033045,DAL,earlyDown,48,0,172,147
2021,00-0035261,DAL,redZone,21,0,73,124
2021,00-0033077,DAL,insideTen,7,2,21,47
2021,00-0033045,DAL,insideTen,11,3,39,47
2021,00-0033045,DAL,goalLine,15,6,16,36
2021,00-0027656,TB,redZone,7,3,51,112
2021,00-0035261,DAL,earlyDown,33,0,215,147
2021,00-0034383,DAL,thirdAndShort,5,1,54,46
2021,00-0033077,DAL,earlyAndLong,15,0,67,584
2021,00-0033921,TB,thirdAndLong,10,0,35,80
2021,00-0031544,DAL,thirdAndLong,11,0,61,83
2021,00-0033921,TB,earlyDown,26,0,314,172
2021,00-0036358,DAL,thirdAndShort,3,0,21,46
2021,00-0031544,DAL,chasingLate,5,0,62,49
2021,00-0034418,DAL,chasingLate,6,0,50,49
2021,00-0036358,DAL,chasingLate,5,0,0,49
2021,00-0033045,DAL,chasingLate,7,0,16,49
2021,00-0031408,TB,chasingLate,5,1,71,40
2021,00-0030456,TB,thirdAndShort,5,0,22,47
2021,00-0027656,TB,chasingLate,3,0,26,40
2021,00-0033921,TB,chasingLate,3,0,45,40
2021,00-0034844,NYG,earlyAndLong,149,1,622,530
2021,00-0035535,NYG,earlyDown,6,0,22,110
2021,00-0035535,NYG,thirdAndMedium,5,0,42,53
2021,00-0036913,NYG,earlyAndLong,25,0,170,530
2021,00-0032972,NYG,earlyAndLong,107,0,440,530
2021,00-0032385,NYG,thirdAndLong,7,0,69,116
2021,00-0032144,DEN,earlyAndLong,129,2,621,519
2021,00-0035644,DEN,earlyAndLong,48,0,438,519
2021,00-0036997,DEN,earlyAndLong,142,0,710,519
2021,00-0034348,DEN,thirdAndMedium,7,0,47,38
2021,00-0036913,NYG,earlyDown,8,0,66,110
2021,00-0036407,DEN,earlyAndLong,30,0,251,519
2021,00-0033576,DEN,earlyAndLong,8,0,40,519
2021,00-0032144,DEN,earlyDown,38,0,211,116
2021,00-0033375,DEN,thirdAndShort,3,0,26,36
2021,00-0036407,DEN,thirdAndLong,12,0,88,106
2021,00-0033375,DEN,fourthDown,4,0,20,19
2021,00-0035644,DEN,redZone,12,1,79,82
2021,00-0036997,DEN,redZone,15,1,67,82
2021,00-0031237,DEN,redZone,8,1,38,82
2021,00-0033932,NYG,earlyAndLong,37,0,292,530
2021,00-0034844,NYG,earlyDown,28,0,76,110
2021,00-0032385,NYG,thirdAndMedium,5,0,30,53
2021,00-0032385,NYG,earlyAndLong,21,1,144,530
2021,00-0036423,DEN,insideTen,3,2,14,54
2021,00-0032813,NYG,earlyAndLong,21,0,57,530
2021,00-0027981,NYG,thirdAndLong,5,0,75,116
2021,00-0034348,DEN,fourthDown,5,0,65,19
2021,00-0033375,DEN,redZone,4,1,36,82
2021,00-0033375,DEN,goalLine,3,1,2,31
2021,00-0034348,DEN,earlyDown,14,0,141,116
2021,00-0035644,DEN,earlyDown,5,0,33,116
2021,00-0036412,DEN,earlyAndLong,4,0,5,519
2021,00-0027981,NYG,earlyDown,4,0,21,110
2021,00-0035535,NYG,earlyAndLong,35,1,180,530
2021,00-0034844,NYG,thirdAndShort,5,0,15,32
2021,00-0035710,NYG,earlyAndLong,22,0,125,530
2021,00-0036412,DEN,thirdAndLong,3,0,50,106
2021,00-0031237,DEN,earlyDown,3,0,16,116
2021,00-0032144,DEN,thirdAndLong,9,0,50,106
2021,00-0035710,NYG,earlyDown,9,0,111,110
2021,00-0035710,NYG,fourthDown,3,0,9,21
2021,00-0034844,NYG,redZone,8,1,22,58
2021,00-0032972,NYG,redZone,8,1,49,58
2021,00-0034844,NYG,insideTen,5,1,11,34
2021,00-0027981,NYG,insideTen,3,0,0,34
2021,00-0032144,DEN,thirdAndMedium,5,0,17,38
2021,00-0027981,NYG,earlyAndLong,18,0,145,530
2021,00-0033932,NYG,chasingLate,7,0,68,62
2021,00-0027981,NYG,redZone,3,0,7,58
2021,00-0036997,DEN,aheadLate,4,0,14,7
2021,00-0036997,DEN,thirdAndLong,14,0,101,106
2021,00-0032385,NYG,chasingLate,10,0,78,62
2021,00-0035535,NYG,chasingLate,3,0,29,62
2021,00-0032385,NYG,redZone,6,0,30,58
2021,00-0035710,NYG,insideTen,4,2,17,34
2021,00-0033906,NO,earlyAndLong,173,1,839,517
2021,00-0036219,NO,earlyAndLong,30,1,311,517
2021,00-0031503,NO,earlyAndLong,7,0,62,517
2021,00-0031503,NO,earlyDown,3,0,37,124
2021,00-0036422,NO,earlyDown,3,0,15,124
2021,00-0036219,NO,thirdAndLong,21,1,148,97
2021,00-0033293,GB,earlyAndLong,145,1,854,524
2021,00-0031381,GB,earlyAndLong,86,1,920,524
2021,00-0033293,GB,thirdAndLong,9,0,33,74
2021,00-0033757,GB,earlyAndLong,12,0,48,524
2021,00-0035860,NO,earlyDown,10,0,32,124
2021,00-0033357,NO,thirdAndShort,7,0,31,32
2021,00-0033906,NO,earlyDown,42,0,203,124
2021,00-0035215,NO,earlyAndLong,35,1,261,517
2021,00-0035860,NO,earlyAndLong,34,0,93,517
2021,00-0031503,NO,thirdAndLong,4,0,45,97
2021,00-0033906,NO,redZone,33,5,140,91
2021,00-0035860,NO,redZone,3,0,18,91
2021,00-0033906,NO,goalLine,8,3,-2,21
2021,00-0036265,GB,earlyAndLong,112,0,583,524
2021,00-0036265,GB,earlyDown,49,0,322,152
2021,00-0034272,GB,thirdAndLong,8,0,105,74
2021,00-0036422,NO,earlyAndLong,25,0,179,517
2021,00-0033906,NO,thirdAndLong,16,0,88,97
2021,00-0033906,NO,insideTen,15,0,22,44
2021,00-0034521,GB,earlyAndLong,29,0,278,524
2021,00-0034272,GB,earlyAndLong,23,0,173,524
2021,00-0034272,GB,earlyDown,9,0,40,152
2021,00-0024243,GB,earlyAndLong,18,0,173,524
2021,00-0033757,GB,redZone,4,1,36,125
2021,00-0033293,GB,redZone,30,2,109,125
2021,00-0031381,GB,insideTen,9,3,23,64
2021,00-0031503,NO,thirdAndShort,4,0,9,32
2021,00-0036422,NO,thirdAndLong,4,0,6,97
2021,00-0031381,GB,thirdAndLong,17,0,162,74
2021,00-0031381,GB,fourthDown,4,0,2,13
2021,00-0036265,GB,thirdAndLong,3,0,13,74
2021,00-0036669,GB,earlyAndLong,3,0,8,524
2021,00-0027966,HOU,earlyAndLong,107,0,463,490
2021,00-0031236,HOU,earlyDown,12,1,113,118
2021,00-0036554,HOU,thirdAndMedium,6,0,33,54
2021,00-0034777,JAX,earlyAndLong,11,1,72,504
2021,00-0036268,JAX,thirdAndLong,15,0,82,90
2021,00-0027966,HOU,earlyDown,38,0,122,118
2021,00-0033439,HOU,earlyAndLong,21,0,94,490
2021,00-0028118,HOU,earlyAndLong,10,0,73,490
2021,00-0026035,HOU,earlyAndLong,15,1,136,490
2021,00-0026035,HOU,thirdAndMedium,4,0,12,54
2021,00-0032187,HOU,earlyAndLong,56,0,207,490
2021,00-0031236,HOU,thirdAndLong,22,2,253,109
2021,00-0027966,HOU,goalLine,6,1,4,15
2021,00-0029293,JAX,earlyAndLong,65,1,501,504
2021,00-0031951,JAX,earlyDown,4,0,6,127
2021,00-0032128,HOU,earlyAndLong,22,1,174,490
2021,00-0027966,HOU,redZone,17,1,43,52
2021,00-0032187,HOU,insideTen,6,1,12,44
2021,00-0036268,JAX,earlyAndLong,49,0,362,504
2021,00-0036268,JAX,earlyDown,7,0,33,127
2021,00-0031045,JAX,earlyAndLong,48,0,168,504
2021,00-0034777,JAX,thirdAndLong,3,0,27,90
2021,00-0035831,JAX,earlyAndLong,120,0,532,504
2021,00-0031484,JAX,earlyDown,3,1,33,127
2021,00-0034109,HOU,earlyAndLong,55,0,161,490
2021,00-0031236,HOU,thirdAndShort,7,1,122,45
2021,00-0030288,HOU,thirdAndMedium,5,0,29,54
2021,00-0035831,JAX,earlyDown,39,0,275,127
2021,00-0027966,HOU,thirdAndShort,7,0,36,45
2021,00-0027966,HOU,insideTen,8,0,12,44
2021,00-0031951,JAX,earlyAndLong,19,0,129,504
2021,00-0035831,JAX,thirdAndLong,6,0,15,90
2021,00-0032187,HOU,earlyDown,16,0,83,118
2021,00-0031045,JAX,earlyDown,16,0,50,127
2021,00-0036268,JAX,thirdAndMedium,13,0,90,58
2021,00-0034109,HOU,earlyDown,23,1,112,118
2021,00-0032187,HOU,thirdAndShort,3,0,13,45
2021,00-0034109,HOU,insideTen,3,1,4,44
2021,00-0035831,JAX,thirdAndMedium,3,0,22,58
2021,00-0031236,HOU,thirdAndMedium,12,0,56,54
2021,00-0028118,HOU,thirdAndMedium,3,0,43,54
2021,00-0036554,HOU,insideTen,4,0,0,44
2021,00-0034364,HOU,insideTen,3,0,3,44
2021,00-0036268,JAX,fourthDown,6,0,35,24
2021,00-0031045,JAX,thirdAndLong,7,0,26,90
2021,00-0027966,HOU,aheadLate,4,0,4,4
2021,00-0026035,HOU,thirdAndLong,8,0,14,109
2021,00-0031045,JAX,chasingLate,5,0,26,60
2021,00-0034777,JAX,chasingLate,3,0,18,60
2021,00-0036268,JAX,chasingLate,5,0,13,60
2021,00-0031045,JAX,thirdAndShort,4,0,12,35
2021,00-0031951,JAX,chasingLate,6,0,51,60
2021,00-0029293,JAX,redZone,7,0,22,55
2021,00-0029293,JAX,chasingLate,4,0,40,60
2021,00-0029293,JAX,insideTen,8,1,13,42
2021,00-0035414,LAC,earlyAndLong,22,1,219,525
2021,00-0027061,LAC,earlyAndLong,37,0,272,525
2021,00-0033699,LAC,earlyDown,37,0,107,132
2021,00-0033536,LAC,earlyAndLong,62,1,576,525
2021,00-0036650,LAC,earlyDown,10,0,28,132
2021,00-0036650,LAC,redZone,3,0,2,112
2021,00-0027061,LAC,redZone,7,1,23,112
2021,00-0030279,LAC,insideTen,10,6,43,70
2021,00-0033699,LAC,goalLine,14,7,15,44
2021,00-0036328,WAS,earlyAndLong,175,1,873,518
2021,00-0036328,WAS,earlyDown,55,0,272,134
2021,00-0030279,LAC,earlyAndLong,69,0,440,525
2021,00-0033699,LAC,earlyAndLong,161,0,928,525
2021,00-0034440,LAC,thirdAndLong,5,0,14,81
2021,00-0036328,WAS,redZone,24,1,58,73
2021,00-0032009,WAS,redZone,4,0,8,73
2021,00-0035414,LAC,thirdAndMedium,6,0,50,69
2021,00-0036328,WAS,thirdAndShort,18,0,47,49
2021,00-0036650,LAC,earlyAndLong,18,0,50,525
2021,00-0030279,LAC,earlyDown,20,0,170,132
2021,00-0033699,LAC,redZone,36,8,240,112
2021,00-0030279,LAC,redZone,13,0,69,112
2021,00-0032602,WAS,earlyAndLong,55,0,324,518
2021,00-0036626,WAS,earlyAndLong,9,0,78,518
2021,00-0036626,WAS,thirdAndLong,7,0,23,87
2021,00-0032725,LAC,earlyDown,5,0,73,132
2021,00-0033536,LAC,earlyDown,14,0,82,132
