season,kind,yardline,togo,down,call,length,made
2021,play,74,9,2,pass,0,0
2021,play,65,10,1,run,0,0
2021,play,65,10,2,run,0,0
2021,play,37,10,1,run,0,0
2021,play,35,8,2,run,0,0
2021,play,31,4,3,run,0,0
2021,kick,29,0,0,,47,1
2021,play,75,10,1,pass,0,0
2021,play,55,10,2,pass,0,0
2021,kick,37,0,0,,55,1
2021,play,75,10,1,pass,0,0
2021,play,64,10,1,run,0,0
2021,play,66,12,2,pass,0,0
2021,play,39,10,1,run,0,0
2021,play,33,4,2,pass,0,0
2021,play,33,4,3,pass,0,0
2021,play,1,1,1,run,0,0
2021,play,5,5,2,pass,0,0
2021,play,5,5,3,pass,0,1
2021,play,80,10,1,pass,0,0
2021,play,80,10,2,pass,0,0
2021,play,70,10,1,run,0,0
2021,play,67,7,2,pass,0,0
2021,play,67,7,3,pass,0,1
2021,play,27,10,1,run,0,0
2021,play,31,14,2,pass,0,0
2021,play,57,10,1,pass,0,0
2021,play,53,6,2,run,0,0
2021,play,12,10,1,run,0,0
2021,play,12,10,2,pass,0,0
2021,play,8,6,3,pass,0,1
2021,play,80,10,1,run,0,0
2021,play,74,4,2,pass,0,0
2021,play,67,10,1,pass,0,0
2021,play,76,10,1,run,0,0
2021,play,62,10,1,pass,0,0
2021,play,57,5,2,pass,0,0
2021,play,47,10,1,pass,0,0
2021,play,47,10,2,run,0,0
2021,play,45,8,3,pass,0,0
2021,play,41,4,4,pass,0,0
2021,play,59,10,1,pass,0,0
2021,play,58,9,2,pass,0,0
2021,play,40,10,1,run,0,0
2021,play,39,9,2,pass,0,0
2021,play,35,5,3,pass,0,0
2021,kick,35,0,0,,53,1
2021,play,75,10,1,run,0,0
2021,play,78,13,2,pass,0,0
2021,play,44,10,1,run,0,0
2021,play,46,12,2,pass,0,0
2021,play,48,14,3,pass,0,0
2021,play,38,4,4,pass,0,1
2021,play,58,10,1,pass,0,0
2021,play,41,10,1,run,0,0
2021,play,39,8,2,run,0,0
2021,play,32,1,3,run,0,0
2021,play,32,1,4,pass,0,0
2021,play,19,10,1,pass,0,0
2021,play,2,2,1,run,0,0
2021,play,4,4,2,pass,0,0
2021,play,4,4,3,pass,0,0
2021,kick,4,0,0,,22,1
2021,play,75,10,1,run,0,0
2021,play,74,9,2,pass,0,0
2021,play,65,10,1,pass,0,0
2021,play,58,3,2,run,0,0
2021,play,55,10,1,run,0,0
2021,play,50,5,2,pass,0,0
2021,play,47,2,3,pass,0,0
2021,play,89,10,1,pass,0,0
2021,play,88,9,2,pass,0,0
2021,play,98,19,3,pass,0,0
2021,play,55,10,1,pass,0,0
2021,play,45,10,1,run,0,0
2021,play,35,10,1,run,0,0
2021,play,32,7,2,pass,0,0
2021,play,23,10,1,run,0,0
2021,play,20,7,2,pass,0,0
2021,play,12,10,1,run,0,0
2021,play,12,10,2,run,0,0
2021,play,3,1,3,run,0,0
2021,play,75,10,1,pass,0,0
2021,play,75,10,2,run,0,0
2021,play,75,10,3,pass,0,0
2021,play,56,10,1,pass,0,0
2021,play,81,10,1,pass,0,0
2021,play,75,4,2,run,0,0
2021,play,74,3,3,pass,0,0
2021,play,67,10,1,run,0,0
2021,play,61,4,2,pass,0,0
2021,play,51,10,1,pass,0,0
2021,play,51,10,2,pass,0,0
2021,play,43,2,3,pass,0,0
2021,play,40,10,1,run,0,0
2021,play,36,6,2,pass,0,0
2021,play,26,10,1,run,0,0
2021,play,22,6,2,run,0,0
2021,play,16,10,1,pass,0,0
2021,play,15,9,2,run,0,0
2021,play,14,8,3,pass,0,0
2021,play,3,3,1,run,0,0
2021,play,75,10,1,run,0,0
2021,play,70,5,2,pass,0,0
2021,play,70,5,3,pass,0,0
2021,play,64,10,1,pass,0,0
2021,play,27,10,1,pass,0,0
2021,play,24,7,2,pass,0,0
2021,play,18,1,3,pass,0,0
2021,play,1,1,1,run,0,0
2021,play,79,10,1,pass,0,0
2021,play,74,5,2,pass,0,0
2021,play,63,10,1,pass,0,0
2021,play,63,10,2,run,0,0
2021,play,55,2,3,run,0,0
2021,play,50,10,1,pass,0,0
2021,play,41,1,2,run,0,0
2021,play,37,10,1,pass,0,0
2021,play,28,1,2,run,0,0
2021,play,25,10,1,pass,0,0
