team,season,plays,games,passRate,neutralPassRate
BAL,2021,1177,17,0.5675,0.5362
CHI,2021,1067,17,0.5633,0.5116
LA,2021,1044,17,0.6140,0.6356
CLE,2021,1043,17,0.5455,0.5482
KC,2021,1116,17,0.6308,0.6252
TB,2021,1121,17,0.6717,0.6780
DAL,2021,1143,17,0.5993,0.5861
NYG,2021,1042,17,0.6036,0.5644
DEN,2021,1032,17,0.5649,0.5500
NO,2021,1040,17,0.5221,0.5325
GB,2021,1052,17,0.5941,0.6059
HOU,2021,1006,17,0.5845,0.5481
JAX,2021,1024,17,0.6230,0.5532
LAC,2021,1123,17,0.6340,0.6179
WAS,2021,1066,17,0.5572,0.5305
NE,2021,1037,17,0.5439,0.5041
MIA,2021,1085,17,0.6046,0.6306
MIN,2021,1076,17,0.5874,0.5676
CIN,2021,1037,17,0.5882,0.6016
NYJ,2021,1036,17,0.6371,0.5751
CAR,2021,1099,17,0.5942,0.5346
ATL,2021,998,17,0.6152,0.5963
PHI,2021,1067,17,0.4939,0.5158
BUF,2021,1125,17,0.6098,0.6519
PIT,2021,1101,17,0.6394,0.6028
IND,2021,1044,17,0.5335,0.5484
SEA,2021,947,17,0.5723,0.5436
DET,2021,1056,17,0.5966,0.5228
SF,2021,1032,17,0.5291,0.5009
NYJ,2022,1063,17,0.6294,0.5847
BAL,2022,1030,17,0.5068,0.5122
BUF,2022,1018,16,0.5963,0.6148
LA,2022,987,17,0.5957,0.5531
CAR,2022,971,17,0.5057,0.4925
CLE,2022,1099,17,0.5278,0.5309
SEA,2022,1033,17,0.6002,0.6026
DEN,2022,1070,17,0.5925,0.5780
MIN,2022,1114,17,0.6463,0.6293
GB,2022,1036,17,0.5743,0.5656
IND,2022,1100,17,0.6064,0.5796
HOU,2022,1011,17,0.6133,0.5284
JAX,2022,1066,17,0.5891,0.5564
WAS,2022,1135,17,0.5348,0.4544
KC,2022,1085,17,0.6267,0.6590
ARI,2022,1142,17,0.6243,0.5927
LAC,2022,1137,17,0.6596,0.6512
LV,2022,1048,17,0.5954,0.5534
NE,2022,986,17,0.5913,0.5833
MIA,2022,995,17,0.6231,0.5981
ATL,2022,1000,17,0.4500,0.4614
NO,2022,1005,17,0.5473,0.5048
NYG,2022,1077,17,0.5283,0.5230
TEN,2022,979,17,0.5158,0.5082
DET,2022,1081,17,0.5661,0.5583
PHI,2022,1105,17,0.5249,0.5832
PIT,2022,1101,17,0.5540,0.5142
CIN,2022,1034,16,0.6364,0.6576
CHI,2022,985,17,0.4457,0.4315
SF,2022,1030,17,0.5272,0.5466
DAL,2022,1101,17,0.5295,0.5114
TB,2022,1146,17,0.6771,0.6073
WAS,2023,1060,17,0.6632,0.6729
ARI,2023,1071,17,0.5621,0.5187
BUF,2023,1094,17,0.5521,0.5835
NYJ,2023,1049,17,0.6330,0.5534
ATL,2023,1083,17,0.5254,0.5396
