season,week,gameId,offense,defense,half,startYard,result,plays,netYards,firstCall,firstYards,spread,total
2024,1,2024_01_LA_DET,DET,LA,2,70,Punt,3,6,run,2,5,54
2024,1,2024_01_LV_LAC,LAC,LV,1,64,Punt,4,15,pass,13,3,41
2024,1,2024_01_LV_LAC,LV,LAC,2,70,Punt,3,8,pass,4,-3,41
2024,1,2024_01_MIN_NYG,NYG,MIN,1,70,Punt,3,-9,run,2,-1,42.5
2024,1,2024_01_MIN_NYG,MIN,NYG,2,70,Touchdown,6,70,run,4,1,42.5
2024,1,2024_01_NE_CIN,CIN,NE,1,65,Punt,3,8,run,4,8,40.5
2024,1,2024_01_NE_CIN,NE,CIN,2,70,Punt,3,6,pass,0,-8,40.5
2024,1,2024_01_NYJ_SF,NYJ,SF,1,70,Punt,3,7,run,4,-3.5,43
2024,1,2024_01_NYJ_SF,SF,NYJ,2,70,Touchdown,11,70,run,1,3.5,43
2024,1,2024_01_PIT_ATL,ATL,PIT,1,70,Field goal,11,64,run,7,4,43
2024,1,2024_01_PIT_ATL,PIT,ATL,2,70,Punt,3,-9,run,5,-4,43
2024,1,2024_01_TEN_CHI,TEN,CHI,1,78,Punt,3,1,run,1,-4,43
2024,1,2024_01_TEN_CHI,CHI,TEN,2,70,Punt,6,-3,run,5,4,43
2024,1,2024_01_WAS_TB,TB,WAS,1,70,Field goal,6,32,run,4,4,42
2024,1,2024_01_WAS_TB,WAS,TB,2,70,Missed field goal,11,32,pass,0,-4,42
2024,2,2024_02_ATL_PHI,PHI,ATL,1,67,Punt,4,19,pass,15,5.5,46.5
2024,2,2024_02_ATL_PHI,ATL,PHI,2,70,Field goal,8,54,pass,7,-5.5,46.5
2024,2,2024_02_BUF_MIA,MIA,BUF,1,70,Turnover,6,9,pass,3,2.5,48.5
2024,2,2024_02_BUF_MIA,BUF,MIA,2,67,Punt,5,17,pass,9,-2.5,48.5
2024,2,2024_02_CHI_HOU,HOU,CHI,1,71,Field goal,7,33,pass,0,6,45.5
